
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.000290                       # Number of seconds simulated
sim_ticks                                   289974069                       # Number of ticks simulated
final_tick                               4971213842967                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                  84499                       # Simulator instruction rate (inst/s)
host_op_rate                                   151769                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                               44574869                       # Simulator tick rate (ticks/s)
host_mem_usage                                4490796                       # Number of bytes of host memory used
host_seconds                                     6.51                       # Real time elapsed on the host
sim_insts                                      549686                       # Number of instructions simulated
sim_ops                                        987300                       # Number of ops (including micro ops) simulated
testsys.physmem.bytes_read::pc.south_bridge.ide        60160                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.dtb.walker          192                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.itb.walker          192                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.inst              128                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.data               64                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.dtb.walker         1984                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.itb.walker          512                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.inst       125696                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.data        69568                       # Number of bytes read from this memory
testsys.physmem.bytes_read::total              258496                       # Number of bytes read from this memory
testsys.physmem.bytes_inst_read::cpu.inst          128                       # Number of instructions bytes read from this memory
testsys.physmem.bytes_inst_read::switch_cpus.inst       125696                       # Number of instructions bytes read from this memory
testsys.physmem.bytes_inst_read::total         125824                       # Number of instructions bytes read from this memory
testsys.physmem.bytes_written::writebacks        58240                       # Number of bytes written to this memory
testsys.physmem.bytes_written::total            58240                       # Number of bytes written to this memory
testsys.physmem.num_reads::pc.south_bridge.ide          940                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.dtb.walker            3                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.itb.walker            3                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.inst                 2                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.data                 1                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.dtb.walker           31                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.itb.walker            8                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.inst         1964                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.data         1087                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::total                 4039                       # Number of read requests responded to by this memory
testsys.physmem.num_writes::writebacks            910                       # Number of write requests responded to by this memory
testsys.physmem.num_writes::total                 910                       # Number of write requests responded to by this memory
testsys.physmem.bw_read::pc.south_bridge.ide    207466827                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.dtb.walker        662128                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.itb.walker        662128                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.inst              441419                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.data              220709                       # Total read bandwidth from this memory (bytes/s)
